Source_ID,Facility_Name,Full_Addr,Street_No,Street_Name,City,Prov_Terr,Postal_Code,CSDNAME,CSDUID,Longitude,Latitude
1466,￉cole Joseph-Moreau,9750 - 74 Avenue Edmonton AB T6E1E8,9750,74 avenue,Edmonton,AB,T6E1E8,Edmonton,4811061,-113.4812940,53.51064300
1467,￉cole Alexandre-Tach￩,30 Erin Ridge Drive St. Albert AB T8N5S5,30,erin ridge drive,St. Albert,AB,T8N5S5,St. Albert,4811062,-113.6250660,53.65889400
1786,￉cole Saint-Vital,5505 Avenue Magasin Beaumont AB T4X1V8,5505,avenue magasin,Beaumont,AB,T4X1V8,Beaumont,4811013,-113.4219250,53.3385920
2125,￉cole Micha￫lle-Jean,10005 - 84 Street NW Edmonton AB T6A3P8,10005,84 street nw,Edmonton,AB,T6A3P8,Edmonton,4811061,-113.456566,53.53972800
1228,￉cole Mont Carmel,"1545, Route 525 Sainte-Marie-de-Kent E4S 2H2 NB",1545,route 525,Sainte-Marie-de-Kent,NB,E4S2H2,Saint Mary,1308006,-64.82560600,46.41469500
1226,￉cole Cl￩ment-Cormier,"37, avenue Richard Bouctouche E4S 3T5 NB",37,avenue richard,Bouctouche,NB,E4S3T5,Bouctouche,1308005,-64.72410700,46.47555200
1202,￉cole Dr-Marguerite-Michaud,"42, avenue Richard Bouctouche E4S 3N1 NB",42,avenue richard,Bouctouche,NB,E4S3N1,Bouctouche,1308005,-64.72257500,46.47376400
1206,￉cole Blanche-Bourgeois,"29, chemin Cocagne Cross Cocagne E4R 2J1 NB",29,chemin cocagne cross cocagne,Cocagne,NB,E4R2J1,Cocagne,1308002,-64.61581400,46.34761700
1227,￉cole Camille-Vautour,"7, avenue Cl￩ment Saint-Antoine E4V 1E2 NB",7,avenue cl￩ment saint-antoine,Saint-Antoine,NB,E4V1E2,Saint-Antoine,1308007,-64.75362400,46.35959500
1213,￉cole Notre-Dame,"3860, Route 115 Notre-Dame E4V 2J2 NB",3860,route 115 notre-dame,Notre-Dame,NB,E4V2J2,Dundas,1308001,-64.73485000,46.30704700
1331,Polyvalente Louis-J.-Robichaud,"435, rue Main Shediac E4P 0S6 NB",435,rue main,Shediac,NB,E4P0S6,Shediac,1307052,-64.53157500,46.21863200
1315,￉cole Mgr-Fran￧ois-Bourgeois,"294, avenue Belliveau Shediac E4P 1H6 NB",294,avenue belliveau,Shediac,NB,E4P1H6,Shediac,1307052,-64.53770100,46.22255000
1317,￉cole P￨re-Edgar-T.-LeBlanc,"1351, Route 133 Grand-Barachois E4P 8C8 NB",1351,route 133,Grand-Barachois,NB,E4P8C8,Beaubassin East / Beaubassin-est,1307005,-64.42154200,46.22391600
1356,￉cole Donat-Robichaud,"2632, chemin Acadie Cap-Pel￩ E4N 1E3 NB",2632,chemin acadie,Cap-Pel￩,NB,E4N1E3,Cap-Pel￩,1307007,-64.27354400,46.21773500
1340,￉cole Abbey-Landry,"432, rue Centrale Memramcook E4K 3S5 NB",432,rue centrale,Memramcook,NB,E4K3S5,Memramcook,1307013,-64.56767900,45.98085600
1360,￉cole L'Odyss￩e,"60, promenade L￩opold F. Belliveau Moncton E1A 8V4 NB",60,promenade l￩opold f belliveau,Moncton,NB,E1A8V4,Moncton,1307022,-64.79111800,46.11898200
1359,￉cole Le Mascaret,"50, promenade L￩opold F. Belliveau Moncton E1A 8V3 NB",50,promenade l￩opold f belliveau,Moncton,NB,E1A8V3,Moncton,1307022,-64.79134300,46.11940600
1350,￉cole Saint-Henri,"101, avenue Gross Moncton E1C 7H3 NB",101,avenue gross,Moncton,NB,E1C7H3,Moncton,1307022,-64.81003500,46.10472900
1349,￉cole Sainte-Bernadette,"46, rue Upton Moncton E1E 3Z1 NB",46,rue upton,Moncton,NB,E1E3Z1,Moncton,1307022,-64.80042600,46.07845800
5138,￉cole des B￢tisseurs,"715, rue Priestman Fredericton E3B 5W7 NB",715,rue priestman,Fredericton,NB,E3B5W7,Fredericton,1310032,-66.6518500,45.94188000
3326,￉cole communautaire Ernest-Lang,"13, rue Bellevue Saint-Fran￧ois-de-Madawaska E7A 1A4 NB",13,rue bellevue,Saint-Fran￧ois-de-Madawaska,NB,E7A1A4,Saint-Fran￧ois de Madawaska,1313042,-68.70524700,47.24179900
